Scenario - Match to Sample
Logfile written - 07/24/2019 09:49:15

Subject	Trial	Event Type	Code	event_cond(str)	block_name(str)	block_number(num)	trial_number(num)	study_grid(str)	dist_grid(str)	study_side(str)	delay(num)	Time	TTime	Uncertainty	Duration	Uncertainty	ReqTime	ReqDur	Stim Type	Pair Index
ssd	93	Picture	Stim;Main;1;4;1111111111111211111121111;1111111111111211112111111;Right;0	Stim	Main	1	4	1111111111111211111121111	1111111111111211112111111	Right	0	2800967	0	1	40076	1	0	next	miss	0
ssd	94	Picture	ITI	ITI								2841043	0	1	2004	1	0	next	other	0
ssd	95	Picture	Study	Study								2843046	0	1	10019	1	0	next	other	0
ssd	97	Picture	Stim;Main;1;5;2111111111112111111111111;2111112111111111111111111;Left;0	Stim	Main	1	5	2111111111112111111111111	2111112111111111111111111	Left	0	2883122	0	1	40076	1	0	next	miss	0
ssd	98	Picture	ITI	ITI								2923198	0	1	2004	1	0	next	other	0
ssd	99	Picture	Study	Study								2925202	0	1	10019	1	0	next	other	0
ssd	101	Picture	Stim;Main;1;6;1112111111111111111221211;1112111111111211111221111;Left;0	Stim	Main	1	6	1112111111111111111221211	1112111111111211111221111	Left	0	2965278	0	1	40076	1	0	next	miss	0
ssd	103	Picture	ITI	ITI								3145452	0	1	2004	1	0	next	other	0
ssd	104	Picture	Study	Study								3147456	0	1	10019	1	0	next	other	0
ssd	106	Picture	Stim;Main;1;1;1111111211111111111111112;1111111111111111121111112;Right;0	Stim	Main	1	1	1111111211111111111111112	1111111111111111121111112	Right	0	3187532	0	1	40076	1	0	next	miss	0
ssd	107	Picture	ITI	ITI								3227607	0	1	2004	1	0	next	other	0
ssd	108	Picture	Study	Study								3229611	0	1	10019	1	0	next	other	0
ssd	110	Picture	Stim;Main;1;2;1121121111111111111111111;1111221111111111111111111;Left;0	Stim	Main	1	2	1121121111111111111111111	1111221111111111111111111	Left	0	3269687	0	1	40076	1	0	next	miss	0
ssd	111	Picture	ITI	ITI								3309763	0	1	2004	1	0	next	other	0
ssd	112	Picture	Study	Study								3311767	0	1	10019	1	0	next	other	0
ssd	114	Picture	Stim;Main;1;3;1211111211111121111111111;1211211211111111111111111;Right;0	Stim	Main	1	3	1211111211111121111111111	1211211211111111111111111	Right	0	3351843	0	1	40076	1	0	next	miss	0
ssd	115	Picture	ITI	ITI								3391918	0	1	2004	1	0	next	other	0
ssd	116	Picture	Study	Study								3393922	0	1	10019	1	0	next	other	0
ssd	118	Picture	Stim;Main;1;4;1111221111111111111111111;1111211112111111111111111;Right;0	Stim	Main	1	4	1111221111111111111111111	1111211112111111111111111	Right	0	3433998	0	1	40076	1	0	next	miss	0
ssd	119	Picture	ITI	ITI								3474074	0	1	2004	1	0	next	other	0
ssd	120	Picture	Study	Study								3476078	0	1	10019	1	0	next	other	0
ssd	122	Picture	Stim;Main;1;5;1111112111112112111111111;1111112111111112111111211;Left;0	Stim	Main	1	5	1111112111112112111111111	1111112111111112111111211	Left	0	3516154	0	1	40076	1	0	next	miss	0
ssd	123	Picture	ITI	ITI								3556229	0	1	2004	1	0	next	other	0
ssd	124	Picture	Study	Study								3558233	0	1	10019	1	0	next	other	0
ssd	126	Picture	Stim;Main;1;6;1121111112112111112111111;1121111112112111111111211;Left;0	Stim	Main	1	6	1121111112112111112111111	1121111112112111111111211	Left	0	3598309	0	1	40076	1	0	next	miss	0
ssd	127	Pulse	84									3742907	104522	1
ssd	128	Quit										5529111	1750628	NA
